,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Nanortalik,GL,60.1432,-45.2371,20.03,64,99,6.2,overcast clouds
1,Bluff,NZ,-46.6,168.3333,55.98,78,100,7.87,overcast clouds
2,Punta Arenas,CL,-53.15,-70.9167,68.11,32,0,21.85,clear sky
3,Lebu,CL,-37.6167,-73.65,64.51,65,4,9.28,clear sky
4,Nemuro,JP,43.3236,145.575,23.29,61,96,9.24,overcast clouds
5,Hilo,US,19.7297,-155.09,71.26,93,100,8.05,overcast clouds
6,Ambon,ID,-3.6954,128.1814,78.24,15,40,2.3,scattered clouds
7,Rikitea,PF,-23.1203,-134.9692,77.56,73,98,8.86,overcast clouds
8,Olinda,BR,-8.0089,-34.8553,83.93,61,75,11.5,broken clouds
9,Cape Town,ZA,-33.9258,18.4232,75.9,67,0,10.36,clear sky
10,Isangel,VU,-19.55,169.2667,76.46,81,100,4.59,overcast clouds
11,Mamallapuram,IN,12.6264,80.1722,77.05,69,1,8.59,clear sky
12,Birjand,IR,32.8663,59.2211,45.07,53,100,9.22,overcast clouds
13,Bredasdorp,ZA,-34.5322,20.0403,72.1,84,90,16.64,overcast clouds
14,Mataura,NZ,-46.1927,168.8643,48.43,95,47,1.66,scattered clouds
15,Victoria,HK,22.2855,114.1577,58.24,71,100,10.0,overcast clouds
16,Straumen,NO,63.8709,11.2999,37.4,76,100,7.16,overcast clouds
17,Banda Aceh,ID,5.5577,95.3222,74.59,82,85,10.87,overcast clouds
18,Port Alfred,ZA,-33.5906,26.891,75.18,96,61,3.0,broken clouds
19,Cabo San Lucas,MX,22.8909,-109.9124,74.61,63,20,10.36,few clouds
20,Nikolskoye,RU,59.7035,30.7861,31.91,91,100,10.22,overcast clouds
21,Dikson,RU,73.5069,80.5464,-31.07,92,60,5.01,broken clouds
22,Deputatskiy,RU,69.3,139.9,-31.7,100,100,0.63,overcast clouds
23,Yerbogachen,RU,61.2767,108.0108,-51.7,99,77,4.38,broken clouds
24,Sorland,NO,67.667,12.6934,37.26,72,75,18.45,broken clouds
25,Carnarvon,AU,-24.8667,113.6333,74.48,75,0,24.34,clear sky
26,Hermanus,ZA,-34.4187,19.2345,78.8,73,12,17.2,few clouds
27,Ushuaia,AR,-54.8,-68.3,56.82,50,0,6.91,clear sky
28,Salalah,OM,17.0151,54.0924,77.09,61,0,1.14,clear sky
29,Kalmunai,LK,7.4167,81.8167,76.03,78,100,9.22,overcast clouds
30,Tottori,JP,35.5,134.2333,42.03,80,35,5.79,scattered clouds
31,Brae,GB,60.3964,-1.353,40.71,69,95,23.35,light rain
32,Longyearbyen,SJ,78.2186,15.6401,17.44,62,0,18.41,clear sky
33,Verkhoyansk,RU,67.5447,133.385,-36.4,95,100,1.7,overcast clouds
34,Durango,MX,24.8333,-104.8333,64.2,20,86,6.71,overcast clouds
35,Busselton,AU,-33.65,115.3333,57.38,60,13,17.74,few clouds
36,Imphal,IN,24.8167,93.95,44.96,69,0,2.91,clear sky
37,Lavrentiya,RU,65.5833,-171.0,-23.1,90,7,11.72,clear sky
38,Kumluca,TR,36.3703,30.2869,57.31,79,53,5.59,broken clouds
39,Coquimbo,CL,-29.9533,-71.3436,71.33,56,75,12.66,broken clouds
40,Nizwa,OM,22.9333,57.5333,70.12,46,35,3.22,scattered clouds
41,Torbay,CA,47.6666,-52.7314,50.77,97,100,13.8,fog
42,Albany,US,42.6001,-73.9662,35.55,58,81,1.83,broken clouds
43,Atar,MR,20.5169,-13.0499,83.12,10,94,12.19,overcast clouds
44,Mumford,GH,5.2618,-0.759,82.98,73,30,12.64,scattered clouds
45,Georgetown,MY,5.4112,100.3354,80.53,78,20,2.3,few clouds
46,Ponta Do Sol,PT,32.6667,-17.1,66.7,65,22,6.8,few clouds
47,Narsaq,GL,60.9167,-46.05,7.02,66,100,9.26,overcast clouds
48,Iqaluit,CA,63.7506,-68.5145,-13.27,62,100,2.3,overcast clouds
49,Qaanaaq,GL,77.484,-69.3632,-16.98,77,84,6.8,broken clouds
50,Codrington,AU,-38.2667,141.9667,62.47,92,100,11.27,overcast clouds
51,Whitehorse,CA,60.7161,-135.0538,20.17,79,75,4.61,broken clouds
52,Kahului,US,20.8947,-156.47,71.83,88,0,3.44,clear sky
53,Avarua,CK,-21.2078,-159.775,73.45,94,40,5.75,scattered clouds
54,Belyy,RU,55.8402,32.9419,33.51,97,100,12.55,overcast clouds
55,Vestmannaeyjar,IS,63.4427,-20.2734,27.59,68,0,21.85,clear sky
56,Fortuna,US,40.5982,-124.1573,40.98,98,100,6.91,overcast clouds
57,Baherden,TM,38.4362,57.4316,31.35,70,94,6.93,overcast clouds
58,Udhampur,IN,32.9333,75.1333,43.36,47,0,7.49,clear sky
59,Isla Vista,US,34.4133,-119.861,55.99,70,0,5.75,clear sky
60,Meulaboh,ID,4.1363,96.1285,75.13,88,100,5.3,overcast clouds
61,Hobart,AU,-42.8794,147.3294,67.86,91,100,5.75,overcast clouds
62,Atuona,PF,-9.8,-139.0333,78.33,76,20,19.55,light rain
63,Broken Hill,AU,-31.95,141.4333,78.48,47,73,18.68,broken clouds
64,Butaritari,KI,3.0707,172.7902,80.87,81,39,19.26,light rain
65,Frumoasa,RO,46.45,25.85,35.1,96,83,2.93,broken clouds
66,Mar Del Plata,AR,-38.0023,-57.5575,78.82,92,75,13.8,broken clouds
67,New Norfolk,AU,-42.7826,147.0587,67.5,66,100,1.7,overcast clouds
68,Mikuni,JP,36.2171,136.1519,33.71,63,57,7.25,broken clouds
69,Kronach,DE,50.2396,11.3331,34.56,77,55,4.32,broken clouds
70,Bellavista,PE,-7.0561,-76.5911,87.28,66,20,5.75,few clouds
71,Aksu,CN,41.1231,80.2644,0.46,91,5,5.53,clear sky
72,Lahat,ID,-3.8,103.5333,72.86,99,100,2.51,overcast clouds
73,Katherine,AU,-14.4667,132.2667,79.12,89,100,4.61,heavy intensity rain
74,Portland,US,45.5234,-122.6762,46.09,92,100,8.99,overcast clouds
75,Saskylakh,RU,71.9167,114.0833,-31.88,100,65,6.33,broken clouds
76,Baracoa,CU,20.3467,-74.4958,78.06,53,4,8.34,clear sky
77,Vaini,TO,-21.2,-175.2,78.96,94,75,5.75,light rain
78,Meadow Lake,US,34.8014,-106.5436,43.84,78,93,14.16,light rain
79,Keflavik,IS,64.0049,-22.5624,24.71,80,20,10.36,few clouds
80,Geraldton,AU,-28.7667,114.6,64.81,68,0,11.5,clear sky
81,Lompoc,US,34.6391,-120.4579,51.53,89,40,6.91,scattered clouds
82,Hasaki,JP,35.7333,140.8333,39.6,87,100,2.46,overcast clouds
83,Axim,GH,4.8699,-2.2405,84.29,66,43,9.19,scattered clouds
84,Polson,US,47.6936,-114.1632,34.77,71,100,3.0,light snow
85,Cherskiy,RU,68.75,161.3,-49.18,99,59,5.17,broken clouds
86,Hithadhoo,MV,-0.6,73.0833,80.83,64,45,6.33,scattered clouds
87,Severo-Kurilsk,RU,50.6789,156.125,16.25,79,97,22.08,light snow
88,Yar-Sale,RU,66.8333,70.8333,2.35,97,100,12.21,overcast clouds
89,Sao Filipe,CV,14.8961,-24.4956,77.95,60,99,8.12,overcast clouds
90,Jamestown,US,42.097,-79.2353,44.19,60,100,5.75,fog
91,Coari,BR,-4.085,-63.1414,73.13,97,100,2.26,overcast clouds
92,Taltal,CL,-25.4,-70.4833,72.41,63,6,8.75,clear sky
93,Banjar,ID,-8.19,114.9675,77.29,91,100,4.83,overcast clouds
94,Hamilton,US,39.1834,-84.5333,60.21,67,75,17.27,broken clouds
95,Saint-Philippe,RE,-21.3585,55.7679,80.19,78,76,12.97,broken clouds
96,Chicama,PE,-7.8447,-79.1469,72.14,49,98,9.33,overcast clouds
97,Khash,IR,28.2211,61.2158,48.47,33,99,6.29,overcast clouds
98,Pevek,RU,69.7008,170.3133,-37.08,100,68,4.09,broken clouds
99,Lesnoye,RU,58.2841,35.5158,32.4,97,100,10.36,light snow
